sheet_id,row_no,column_no,cell,value,range,list_of_list
1665571173,253,12,,-63.94,,
1665571173,,,F232,184.85,,
1665571173,,,E232,217.45,,
1665571173,,,F232,184.85,,
1665571173,236,12,,-64.88,,
1584186431,153,62,,-129.58,,
1665571173,,,J236,HIT,,
1665571173,237,12,,-36.51,,
1665571173,,,D237,41100PE,,
1665571173,,,E237,201.35,,
1665571173,,,F237,171.15,,
1665571173,,,E237,201.35,,
1665571173,,,F237,171.15,,
1665571173,249,12,,-62.86,,
1665571173,,,J249,HIT,,
1665571173,248,12,,-64.83,,
1665571173,249,12,,-62.86,,
1584186431,153,61,,-127.69,,
1665571173,245,12,,-66.55,,
1665571173,,,J245,HIT,,
1665571173,244,12,,-66.29,,
1665571173,245,12,,-66.55,,
1665571173,232,12,,-67.74,,
1584186431,153,60,,-132.84,,
1665571173,,,J232,HIT,,
1665571173,237,12,,-64.19,,
1665571173,,,J237,HIT,,
1665571173,236,12,,-64.88,,
1665571173,237,12,,-64.19,,
1584186431,153,58,,-129.07,,
1665571173,240,12,,-71.36,,
1665571173,241,12,,-22.99,,
1584186431,153,59,,-94.35,,
1665571173,232,12,,-67.74,,
1665571173,233,12,,9.60,,
1584186431,153,57,,-58.14,,
